timestamp,batch_classification_rate,batch_size,average_normal_loss_factor,average_intrusion_loss_factor,threshold,percentage_intrusions
1702656216.986547,120732.05413838563,5000,0.8987150580986686,1.2221004165518865,1.0,86.2
1702656217.050453,145531.4601361526,5000,0.8972602930841846,1.2239246103099062,1.0,86.18
1702656217.0907362,148893.6378675035,5000,0.896715780099233,1.2248697220395295,1.0,86.32
1702656217.130686,151437.5049645083,5000,0.895657933190249,1.2241448217644215,1.0,86.2
1702656217.193279,89354.19959863827,5000,0.8988301920476767,1.2224281056072797,1.0,86.18
1702656217.2315142,157380.04112446905,5000,0.8980402268183181,1.2231071270535874,1.0,85.94000000000001
1702656217.270911,153930.7105108632,5000,0.8963308320242978,1.2242329768236868,1.0,86.48
1702656217.309317,156454.84251204846,5000,0.895657933190249,1.2231825498859732,1.0,86.2
1702656217.3673542,97051.28027137218,5000,0.8987150580986686,1.2233054831520311,1.0,86.2
1702656217.405642,156016.0393991921,5000,0.8977289928708758,1.2227796514366949,1.0,86.0
1702656217.4441879,156946.61058807682,5000,0.8966592443182472,1.2247392837164222,1.0,86.42
1702656217.482941,154933.73129035594,5000,0.8957774913431766,1.2235304296473168,1.0,86.18
1702656217.540786,97094.86550303255,5000,0.8981417056850411,1.2229455597629317,1.0,85.92
1702656217.578642,158378.41920038668,5000,0.89876817718937,1.2230151818259265,1.0,86.02
1702656217.616051,161030.7679313231,5000,0.895657933190249,1.2239784122896304,1.0,86.2
1702656217.654549,155058.59562732442,5000,0.8961330260242428,1.223964930598396,1.0,86.68
1702656217.7135448,157273.81809455244,5000,0.8982972657367717,1.2233495479333052,1.0,86.28
1702656217.752077,156211.27589366186,5000,0.8986036155679402,1.2229603326072933,1.0,85.66
1702656217.7903612,158012.0704334657,5000,0.8964182315311375,1.2242543850295586,1.0,86.52
1702656217.8282619,158354.50110998686,5000,0.8954918796461113,1.224401103337385,1.0,86.33999999999999
1702656217.8875442,156581.00258336196,5000,0.8977289928708758,1.2231356152268342,1.0,86.0
1702656217.924937,160750.5748888548,5000,0.8991755642219424,1.2218350267199436,1.0,85.94000000000001
1702656217.962857,158177.73151709884,5000,0.895657933190249,1.2235216638881479,1.0,86.2
1702656218.021746,96502.86450544141,5000,0.8961330260242428,1.2250494145004773,1.0,86.68
